"associate_id","full_name","first_name","last_name","gender","start_date","month","month_year","tenure_months","total_sales"
1,"Robert Pennywell","Robert","Pennywell",0,2025-01-22,2025-01-01,"2025-01",0,8736.12
1,"Robert Pennywell","Robert","Pennywell",0,2025-01-22,2025-02-01,"2025-02",1,22673.91
1,"Robert Pennywell","Robert","Pennywell",0,2025-01-22,2025-03-01,"2025-03",2,48418.95
1,"Robert Pennywell","Robert","Pennywell",0,2025-01-22,2025-04-01,"2025-04",3,24744.81
1,"Robert Pennywell","Robert","Pennywell",0,2025-01-22,2025-05-01,"2025-05",4,13370.46
1,"Robert Pennywell","Robert","Pennywell",0,2025-01-22,2025-06-01,"2025-06",5,13724.81
2,"Richard Conover","Richard","Conover",0,2025-03-06,2025-03-01,"2025-03",0,27558.78
2,"Richard Conover","Richard","Conover",0,2025-03-06,2025-04-01,"2025-04",1,32843.92
2,"Richard Conover","Richard","Conover",0,2025-03-06,2025-05-01,"2025-05",2,17484.54
2,"Richard Conover","Richard","Conover",0,2025-03-06,2025-06-01,"2025-06",3,3986.54
3,"Shauntino Kennah","Shauntino","Kennah",0,2025-01-06,2025-01-01,"2025-01",0,23114.23
3,"Shauntino Kennah","Shauntino","Kennah",0,2025-01-06,2025-02-01,"2025-02",1,42099
3,"Shauntino Kennah","Shauntino","Kennah",0,2025-01-06,2025-03-01,"2025-03",2,29157.23
3,"Shauntino Kennah","Shauntino","Kennah",0,2025-01-06,2025-04-01,"2025-04",3,18314.17
3,"Shauntino Kennah","Shauntino","Kennah",0,2025-01-06,2025-05-01,"2025-05",4,27823.88
3,"Shauntino Kennah","Shauntino","Kennah",0,2025-01-06,2025-06-01,"2025-06",5,44743.21
4,"Joseph Johnson","Joseph","Johnson",0,2025-05-20,2025-05-01,"2025-05",0,25009.54
4,"Joseph Johnson","Joseph","Johnson",0,2025-05-20,2025-06-01,"2025-06",1,9409.97
5,"Maranda Torres","Maranda","Torres",1,2025-01-28,2025-01-01,"2025-01",0,27608.52
5,"Maranda Torres","Maranda","Torres",1,2025-01-28,2025-02-01,"2025-02",1,48111.92
5,"Maranda Torres","Maranda","Torres",1,2025-01-28,2025-03-01,"2025-03",2,16370.51
